[[[0.55211294f32, 0.92269695f32, 0.9263346f32, 0.76031244f32, 4.4560432e-2f32, 0.15218955f32, 0.8324485f32, 0.4641732f32, 0.42986304f32, 0.23069465f32, 0.64630336f32, 0.39444554f32, 0.4127522f32, 0.9278825f32, 0.29872316f32, 0.8212209f32, 4.471904e-2f32, 0.87854564f32, 0.16331613f32, 0.5252652f32, 9.7780704e-2f32, 0.80848676f32, 0.22444439f32, 0.9110458f32, 0.25036442f32, 0.7006035f32, 0.53238165f32, 0.7711636f32, 0.67057896f32, 0.16556478f32, 0.6467155f32, 0.60063607f32],
[0.7584315f32, 0.7387812f32, 0.87589276f32, 0.48629987f32, 0.7476826f32, 0.594803f32, 6.7861676e-3f32, 0.52437913f32, 0.558087f32, 0.9124516f32, 0.86665213f32, 0.50266254f32, 0.5084637f32, 0.9379964f32, 0.5860794f32, 3.767699e-2f32, 0.95562935f32, 0.4326436f32, 0.64981383f32, 1.751113e-2f32, 0.5335245f32, 0.31361574f32, 0.3256424f32, 0.27050185f32, 0.25332177f32, 0.9460269f32, 0.68059015f32, 0.894062f32, 0.2995659f32, 0.1482526f32, 0.46775246f32, 0.78575957f32],
[0.6805604f32, 0.31584907f32, 6.541145e-2f32, 0.30923975f32, 0.2647634f32, 0.71609503f32, 0.7032472f32, 0.22687191f32, 0.27405733f32, 0.15996075f32, 0.1870839f32, 0.9307031f32, 0.2777472f32, 0.25736582f32, 0.9543364f32, 0.9578724f32, 0.49862176f32, 4.3043554e-2f32, 0.82910556f32, 0.19327652f32, 0.57760024f32, 0.9990147f32, 0.23030019f32, 0.24491328f32, 0.73042035f32, 0.39577037f32, 0.4887799f32, 0.68292296f32, 0.6630942f32, 0.3275829f32, 0.6788205f32, 0.51527834f32],
[0.3940662f32, 0.21677434f32, 0.6503434f32, 4.5166194e-2f32, 0.7988053f32, 0.23255402f32, 0.20511997f32, 0.3585812f32, 0.81287515f32, 0.2066763f32, 0.9238027f32, 0.13009274f32, 0.23458618f32, 0.8256135f32, 0.15444434f32, 0.65759754f32, 0.38953698f32, 0.6758761f32, 0.78309965f32, 0.6537293f32, 0.34519547f32, 3.921646e-2f32, 0.26167852f32, 0.25366014f32, 0.3226912f32, 0.91669494f32, 0.89126f32, 0.2693541f32, 0.5225531f32, 0.45630586f32, 0.7522593f32, 0.86589074f32],
[0.67278886f32, 0.35088885f32, 0.1735993f32, 0.4867987f32, 0.73237944f32, 0.48324293f32, 0.9068894f32, 0.3027901f32, 0.12575126f32, 0.47135162f32, 0.46588838f32, 0.16236877f32, 0.93777555f32, 0.97260326f32, 8.702433e-2f32, 0.20061255f32, 0.74932516f32, 0.23480308f32, 0.3224259f32, 0.9669697f32, 0.11264497f32, 0.41237295f32, 0.19537193f32, 0.16927248f32, 0.67630893f32, 9.048474e-2f32, 0.88880354f32, 0.13221055f32, 3.074205e-2f32, 0.49456084f32, 0.6378404f32, 0.41743082f32],
[4.5535684e-2f32, 0.56993544f32, 0.7014823f32, 0.61123705f32, 0.6736342f32, 1.6596913e-2f32, 0.9944853f32, 0.87427217f32, 0.45294213f32, 0.69596684f32, 0.17026979f32, 0.49174154f32, 0.13063008f32, 0.36932063f32, 1.7581582e-2f32, 1.6922295e-2f32, 0.97668093f32, 0.6204817f32, 0.32069373f32, 0.7248192f32, 0.42184567f32, 0.31824464f32, 0.3884036f32, 0.8071332f32, 0.8438131f32, 0.29881656f32, 0.8880241f32, 0.8173844f32, 0.30301505f32, 0.70582664f32, 0.33406538f32, 0.4608919f32],
[0.17891419f32, 0.86495066f32, 0.16344482f32, 0.6622603f32, 1.4230013e-3f32, 0.4521029f32, 0.30237854f32, 0.2294352f32, 0.3339951f32, 0.404401f32, 0.8414881f32, 0.2358188f32, 0.9207659f32, 7.964915e-2f32, 0.74880743f32, 0.19219303f32, 0.4072321f32, 0.22225773f32, 0.76798105f32, 0.75313896f32, 0.97815585f32, 0.89814264f32, 0.38799387f32, 0.22971046f32, 0.6777196f32, 0.55308867f32, 0.5330118f32, 0.9823171f32, 0.189143f32, 0.55933094f32, 0.6637864f32, 0.40004098f32],
[0.9530097f32, 0.11281443f32, 0.19462806f32, 0.98583305f32, 0.80057f32, 0.25295705f32, 0.80110943f32, 0.24358362f32, 0.65285444f32, 0.79875576f32, 0.7525484f32, 0.8057753f32, 0.9710716f32, 0.12501311f32, 0.33070356f32, 0.41509056f32, 0.5813835f32, 0.501447f32, 0.9515375f32, 0.4622782f32, 5.2599013e-2f32, 0.86041117f32, 0.16280693f32, 0.60763603f32, 5.3642333e-2f32, 0.5764837f32, 0.11825383f32, 0.42555857f32, 0.9500848f32, 0.13763344f32, 0.76916116f32, 0.89533114f32],
[0.34550655f32, 0.52903056f32, 0.5927685f32, 0.17244208f32, 0.29047006f32, 0.726328f32, 0.88744324f32, 0.4779998f32, 8.164704e-3f32, 0.884362f32, 0.31393552f32, 0.1532523f32, 0.38263416f32, 0.4990245f32, 0.6762347f32, 0.36260056f32, 0.78627276f32, 0.4735722f32, 0.38760823f32, 4.1746736e-2f32, 0.49273133f32, 5.983472e-2f32, 0.92170763f32, 0.13025618f32, 0.18635792f32, 0.7114929f32, 0.7599477f32, 0.70687866f32, 0.5900223f32, 0.4161942f32, 0.90231043f32, 0.19008541f32],
[0.72240806f32, 0.90239173f32, 0.2535674f32, 0.3529986f32, 0.83441013f32, 0.80288416f32, 0.9320494f32, 0.9956043f32, 0.32955533f32, 0.7452718f32, 0.61294615f32, 0.43353963f32, 0.47164494f32, 0.5508642f32, 0.9851221f32, 0.4497803f32, 0.59643745f32, 0.7476381f32, 0.88963854f32, 0.3234489f32, 0.51398027f32, 0.39814126f32, 2.4776578e-2f32, 0.42341906f32, 0.89713f32, 0.75682694f32, 0.30427688f32, 0.81733906f32, 1.770258e-2f32, 0.24968725f32, 0.87137944f32, 0.85634774f32],
[0.19255573f32, 0.4007302f32, 0.4362926f32, 0.5703225f32, 0.173406f32, 0.82165825f32, 0.6524997f32, 0.23427337f32, 3.5730004e-2f32, 0.7724724f32, 8.092272e-2f32, 0.62858367f32, 0.87645024f32, 0.29488236f32, 0.8691938f32, 0.14974886f32, 0.8153982f32, 0.87230355f32, 0.38672376f32, 0.7277566f32, 5.00347e-2f32, 0.4590739f32, 0.9877712f32, 0.37527877f32, 0.15156674f32, 2.8890014e-2f32, 0.24870133f32, 0.1771602f32, 0.26778787f32, 0.4525289f32, 0.37228483f32, 5.169046e-2f32],
[7.213551e-2f32, 0.24579555f32, 0.3215204f32, 0.40750355f32, 0.2152555f32, 0.9558079f32, 0.5929975f32, 0.15322131f32, 0.3530653f32, 0.9284711f32, 0.49516135f32, 0.8210762f32, 0.29260266f32, 0.48857433f32, 0.32058018f32, 0.14737517f32, 0.3525921f32, 0.6201178f32, 0.7614707f32, 0.7091962f32, 0.32434165f32, 0.7115009f32, 0.9594487f32, 0.7927756f32, 0.923465f32, 0.9277475f32, 0.17267919f32, 0.415397f32, 0.8628125f32, 2.7464688e-2f32, 0.898643f32, 0.71028924f32],
[0.6584511f32, 0.20389181f32, 0.17369425f32, 0.113941014f32, 0.9657819f32, 0.5160448f32, 0.5178615f32, 0.6508118f32, 0.8008553f32, 0.12994075f32, 0.84245545f32, 0.38518298f32, 0.9723426f32, 0.60702443f32, 0.5642468f32, 0.19363004f32, 0.7845997f32, 0.15405118f32, 3.370291e-2f32, 1.0207295e-2f32, 0.45081192f32, 0.80040824f32, 0.4338218f32, 0.7295768f32, 8.151966e-2f32, 0.34049278f32, 0.53927386f32, 0.46759683f32, 0.5029094f32, 0.5369984f32, 0.82646096f32, 0.5407037f32],
[0.39652735f32, 0.67845404f32, 0.38203686f32, 0.8049081f32, 0.15185219f32, 0.93601894f32, 0.61684775f32, 0.20772517f32, 0.36419612f32, 0.4438436f32, 0.18395472f32, 0.6674173f32, 0.25327283f32, 0.6607728f32, 0.90155315f32, 3.67738e-2f32, 0.19900143f32, 0.8952958f32, 0.5522673f32, 0.802494f32, 0.4874494f32, 0.9780788f32, 0.9878657f32, 0.26358753f32, 0.31774992f32, 0.18799275f32, 0.8689921f32, 0.94066083f32, 0.9969273f32, 0.42957228f32, 0.70715785f32, 0.17724991f32],
[0.18331659f32, 0.34216386f32, 0.7775607f32, 0.9135651f32, 0.35084462f32, 0.654963f32, 0.48694032f32, 0.84730977f32, 0.48495823f32, 9.24592e-2f32, 0.75179994f32, 0.6189187f32, 0.28611702f32, 0.5669054f32, 0.90218306f32, 0.38588673f32, 0.20348877f32, 0.17733252f32, 0.15319538f32, 0.5327854f32, 0.27955294f32, 0.97272795f32, 0.27380675f32, 0.76257116f32, 0.33095396f32, 0.61177075f32, 0.5301143f32, 0.4239356f32, 9.687233e-2f32, 0.27566493f32, 0.3547625f32, 0.88578147f32],
[0.96808165f32, 0.50517225f32, 0.517795f32, 0.39114803f32, 0.81605333f32, 0.6031481f32, 0.66357595f32, 0.100877404f32, 0.47378075f32, 0.738562f32, 0.96638f32, 0.9394098f32, 0.98678017f32, 0.21314561f32, 0.7339333f32, 0.18758619f32, 0.5529636f32, 0.38760543f32, 0.50818163f32, 0.3339808f32, 0.6916956f32, 0.96237534f32, 0.684599f32, 0.745068f32, 0.10408813f32, 0.23559141f32, 0.6051629f32, 0.7381065f32, 0.910887f32, 0.6401193f32, 0.92822725f32, 0.27333915f32],
[0.46810555f32, 9.915441e-2f32, 0.9566305f32, 0.32192743f32, 0.6376133f32, 0.29756618f32, 0.7028523f32, 0.36619997f32, 0.29000545f32, 0.68817544f32, 0.9305839f32, 0.5264044f32, 5.9813738e-2f32, 0.4068001f32, 0.1335398f32, 0.80163974f32, 0.795128f32, 0.89694405f32, 0.12896031f32, 0.5943527f32, 0.35868895f32, 0.4218155f32, 0.7058509f32, 0.13024831f32, 0.8893489f32, 0.16458464f32, 2.5581956e-2f32, 0.7757049f32, 0.47546452f32, 0.7160763f32, 0.83469653f32, 0.8588215f32],
[0.59598804f32, 0.42965704f32, 0.558408f32, 0.8228225f32, 8.080268e-2f32, 0.5949332f32, 0.12768352f32, 0.9050722f32, 0.91398644f32, 0.5883504f32, 0.5292679f32, 0.63067704f32, 0.17980301f32, 0.41937792f32, 0.59249544f32, 0.5121417f32, 0.36199546f32, 0.68492556f32, 0.9190775f32, 0.26163405f32, 0.5958313f32, 0.4788198f32, 0.47841603f32, 0.64874333f32, 0.96389306f32, 0.7960334f32, 0.5011003f32, 0.6490466f32, 0.34690666f32, 0.91430736f32, 0.3653292f32, 0.13844913f32],
[0.73078746f32, 0.5599072f32, 0.8091794f32, 0.6334599f32, 0.28804058f32, 7.425654e-2f32, 0.8565115f32, 0.15299386f32, 0.72797215f32, 0.4367571f32, 0.6103126f32, 0.69209373f32, 0.39023888f32, 0.37501615f32, 0.7625615f32, 0.5104631f32, 0.53991747f32, 0.79231006f32, 0.32087582f32, 0.9877617f32, 0.38923424f32, 0.41047907f32, 0.24343246f32, 0.9651285f32, 0.8031171f32, 0.4520343f32, 0.119322896f32, 0.2856034f32, 0.89233565f32, 0.19027764f32, 0.3159098f32, 0.9259185f32],
[0.40426433f32, 0.14041203f32, 0.973541f32, 0.29035145f32, 0.29194134f32, 0.18469322f32, 0.70767903f32, 0.56732666f32, 0.5880526f32, 0.43838984f32, 0.16929758f32, 1.4715016e-2f32, 0.7444179f32, 0.2171728f32, 0.5833285f32, 9.353173e-2f32, 0.26617962f32, 0.4857719f32, 2.951771e-2f32, 0.6936426f32, 0.25865275f32, 0.9208611f32, 8.0365e-2f32, 0.51577866f32, 0.118581f32, 0.8078613f32, 0.62355924f32, 0.6346661f32, 0.5019876f32, 0.6865202f32, 8.377552e-2f32, 0.124093294f32],
[0.55655986f32, 0.10197449f32, 0.744624f32, 0.43640155f32, 4.126829e-2f32, 0.99557495f32, 2.1398485e-2f32, 0.16573429f32, 0.44620824f32, 5.2020013e-2f32, 0.38855422f32, 0.6314547f32, 0.640456f32, 0.89262986f32, 0.9908864f32, 0.9797349f32, 0.54332995f32, 0.6928786f32, 0.74580836f32, 0.7947624f32, 0.5473881f32, 0.92779326f32, 0.34397793f32, 0.64385843f32, 0.23993796f32, 0.6844741f32, 0.82063586f32, 0.9363514f32, 0.81808364f32, 0.7232536f32, 0.23136926f32, 0.77061003f32],
[0.7303302f32, 9.437394e-2f32, 4.948944e-2f32, 0.6006453f32, 0.8929912f32, 0.71628004f32, 0.9772706f32, 0.8543008f32, 0.6563626f32, 0.7332834f32, 0.8043076f32, 5.8448255e-2f32, 0.19661379f32, 8.189148e-2f32, 0.8843535f32, 0.21196866f32, 0.8883375f32, 0.366179f32, 0.97314703f32, 0.5839764f32, 0.8082764f32, 0.4477418f32, 0.3094836f32, 0.7072978f32, 0.430663f32, 4.509765e-2f32, 0.7025331f32, 0.96643674f32, 0.32114184f32, 0.6023363f32, 0.24336684f32, 0.69497013f32]],
[[0.98623675f32, 3.141743e-2f32, 0.38798016f32, 0.2996381f32, 0.6129091f32, 0.4786477f32, 0.31475055f32, 8.998293e-2f32, 0.9936817f32, 3.3343434e-2f32, 0.29962838f32, 0.10048109f32, 0.93157196f32, 0.65974903f32, 0.18933797f32, 7.063019e-2f32, 0.9956148f32, 0.808101f32, 0.9795978f32, 0.8733158f32, 0.51736677f32, 0.8609577f32, 0.72315717f32, 0.6785833f32, 0.24950099f32, 0.6318768f32, 0.3161052f32, 0.40382415f32, 0.8053493f32, 0.88609785f32, 0.19561046f32, 0.9160625f32],
[0.715487f32, 0.64882946f32, 0.29743302f32, 0.26091325f32, 0.5438109f32, 0.22744691f32, 1.975602e-2f32, 0.6981083f32, 0.61181307f32, 0.23776805f32, 0.7987178f32, 0.5571462f32, 0.37269807f32, 2.833426e-3f32, 6.5386415e-2f32, 0.30461806f32, 0.3200236f32, 0.4047948f32, 0.27403092f32, 0.16037482f32, 0.706145f32, 0.33469796f32, 0.7604733f32, 0.86751866f32, 0.30521423f32, 0.72743225f32, 0.9276066f32, 0.65994984f32, 0.42015946f32, 0.7048769f32, 0.123773575f32, 0.41160655f32],
[0.6442768f32, 0.84246576f32, 0.43047243f32, 0.52027524f32, 0.81255215f32, 0.5393176f32, 0.6277378f32, 0.9241603f32, 0.9761501f32, 0.3615315f32, 0.9449723f32, 0.70240355f32, 0.19844127f32, 0.48301238f32, 7.013774e-2f32, 0.57021654f32, 7.4564576e-2f32, 0.5834857f32, 0.9001858f32, 6.138712e-2f32, 2.3952425e-2f32, 0.3110214f32, 0.9206539f32, 0.82968324f32, 0.5905211f32, 0.11068672f32, 0.6420363f32, 0.18953913f32, 6.849933e-2f32, 0.9266622f32, 0.41938376f32, 0.32122022f32],
[0.16984755f32, 0.9957891f32, 0.14138514f32, 0.48044926f32, 0.6271292f32, 0.25974393f32, 0.2771449f32, 0.83818686f32, 0.15176266f32, 0.5036209f32, 0.4771105f32, 0.1700697f32, 0.20796329f32, 0.9087031f32, 0.51138455f32, 0.1953339f32, 0.31858063f32, 3.393823e-2f32, 0.9816825f32, 0.12940115f32, 0.91248417f32, 0.27339405f32, 0.5144125f32, 0.8366548f32, 0.69878316f32, 0.120595455f32, 9.628528e-2f32, 0.10952437f32, 3.0644655e-2f32, 9.4991684e-2f32, 5.307734e-3f32, 0.72341514f32],
[0.4664783f32, 0.57006073f32, 0.797066f32, 0.22405005f32, 0.9049522f32, 0.9728894f32, 0.8868302f32, 0.43630487f32, 0.65818655f32, 0.7375586f32, 2.2747993e-2f32, 0.122766495f32, 0.624303f32, 0.96205986f32, 0.87203f32, 0.5555093f32, 0.6771829f32, 0.9234572f32, 0.6995865f32, 0.48289293f32, 0.25624245f32, 0.4333927f32, 0.89297044f32, 0.63747454f32, 0.96055233f32, 0.65081334f32, 0.25516742f32, 9.768808e-2f32, 0.46578288f32, 0.3797781f32, 0.8364184f32, 3.3330977e-2f32],
[0.7657074f32, 0.14743638f32, 0.16386914f32, 0.24297339f32, 0.25105506f32, 2.9945195e-2f32, 0.6461052f32, 0.62373316f32, 7.601005e-2f32, 0.31033462f32, 0.24116945f32, 0.6236377f32, 0.5776007f32, 0.3145635f32, 0.14084578f32, 0.98443f32, 0.5818097f32, 0.14291549f32, 6.147504e-3f32, 0.85120785f32, 9.40901e-3f32, 0.6695058f32, 0.8906609f32, 7.2410345e-2f32, 0.57250357f32, 0.3947221f32, 0.660398f32, 0.27258843f32, 0.25032812f32, 0.94411564f32, 9.820968e-2f32, 0.86364615f32],
[0.9784018f32, 4.7280252e-2f32, 0.5570147f32, 0.5493244f32, 0.4252714f32, 0.8570626f32, 0.21469682f32, 0.9833821f32, 0.22793114f32, 6.228715e-2f32, 0.66471577f32, 0.5342251f32, 0.6724092f32, 4.650551e-2f32, 8.8534e-2f32, 0.10276711f32, 0.91997105f32, 0.79204077f32, 0.83994305f32, 0.17572826f32, 0.9665244f32, 0.22288996f32, 0.7765587f32, 0.6106892f32, 0.41613388f32, 0.1584785f32, 0.39789885f32, 0.4127651f32, 0.39585757f32, 0.5578966f32, 0.6844195f32, 0.5751628f32],
[8.4312975e-2f32, 0.7552153f32, 0.84464145f32, 5.5218518e-2f32, 0.79252285f32, 0.224316f32, 0.7044893f32, 0.88647866f32, 8.707392e-2f32, 0.12539983f32, 0.5634066f32, 0.9113533f32, 0.3784207f32, 3.7721395e-2f32, 0.77892697f32, 0.5975702f32, 0.424596f32, 4.059291e-2f32, 0.8830209f32, 0.34719038f32, 0.5181308f32, 0.7645776f32, 0.16496152f32, 0.1656723f32, 0.2409519f32, 0.85536754f32, 3.3950686e-2f32, 0.121340156f32, 0.6176494f32, 0.11538446f32, 0.9306291f32, 0.103470504f32],
[0.931808f32, 0.7811767f32, 0.657648f32, 0.50240153f32, 0.28576434f32, 6.8751514e-2f32, 0.5096268f32, 2.4691701e-2f32, 0.5104367f32, 0.35059887f32, 0.4695093f32, 0.2824285f32, 0.59639823f32, 0.32133722f32, 0.6207634f32, 0.4385007f32, 0.46735954f32, 5.3980947e-2f32, 0.86400485f32, 0.8876434f32, 0.1715799f32, 0.11112434f32, 3.129095e-2f32, 0.33651894f32, 0.12675178f32, 0.51072574f32, 0.845847f32, 0.20148003f32, 0.24048507f32, 0.25220764f32, 0.7976383f32, 0.23311251f32],
[0.708132f32, 1.3398528e-3f32, 0.73978645f32, 0.3055814f32, 0.7660645f32, 0.28345978f32, 0.45109862f32, 0.18948996f32, 0.15958631f32, 4.5429647e-2f32, 0.3051597f32, 0.22625214f32, 6.42246e-2f32, 0.4282533f32, 0.45754302f32, 0.3154441f32, 0.7379663f32, 0.99887645f32, 0.7566688f32, 0.9825323f32, 0.66571224f32, 0.26605833f32, 0.5384456f32, 0.14772272f32, 0.80276537f32, 5.6332886e-2f32, 0.42609215f32, 0.7298643f32, 0.90834796f32, 0.31759012f32, 0.70638216f32, 0.36810917f32],
[0.41790336f32, 0.9132433f32, 0.14976025f32, 0.47564453f32, 1.723212e-2f32, 0.19085717f32, 0.7980957f32, 0.124669135f32, 0.40781343f32, 0.53773415f32, 0.28729308f32, 0.75959754f32, 0.7358115f32, 6.519586e-2f32, 0.48816133f32, 0.48418754f32, 0.60397935f32, 0.9709221f32, 0.9017592f32, 0.29511398f32, 0.6985624f32, 0.14273947f32, 8.868027e-2f32, 0.48110235f32, 0.99373174f32, 0.61984015f32, 0.92193377f32, 1.2024164e-2f32, 0.942646f32, 0.6422765f32, 0.8078294f32, 0.34826565f32],
[0.77794516f32, 5.2489102e-2f32, 0.78757024f32, 0.32733357f32, 0.1604163f32, 0.3121757f32, 0.30377853f32, 0.29308122f32, 0.72750294f32, 0.7085905f32, 0.96813434f32, 0.2357781f32, 7.5933933e-3f32, 0.24005097f32, 0.15668249f32, 0.96310925f32, 0.74601793f32, 0.4392022f32, 0.61650443f32, 0.8896845f32, 3.5262585e-2f32, 0.99600106f32, 0.95214903f32, 0.67033947f32, 0.34637457f32, 0.17562485f32, 0.82730114f32, 0.17890316f32, 2.0699501e-2f32, 0.6366577f32, 0.50782883f32, 0.53698874f32],
[0.66531944f32, 0.5813772f32, 0.20207089f32, 0.7575953f32, 0.42812264f32, 0.7533708f32, 0.27079368f32, 6.571251e-2f32, 0.58667004f32, 0.52802414f32, 0.87303954f32, 0.580515f32, 0.22407812f32, 0.63138473f32, 0.13476151f32, 0.38819563f32, 0.14207494f32, 0.6258601f32, 0.65247416f32, 0.627483f32, 0.24533272f32, 0.61298823f32, 0.15444499f32, 0.13601488f32, 0.16745728f32, 0.8737347f32, 0.5575159f32, 0.49955344f32, 0.34250665f32, 0.45437038f32, 0.31429213f32, 7.9318106e-2f32],
[6.088847e-2f32, 0.86076176f32, 0.49617183f32, 0.76432514f32, 6.4646244e-2f32, 0.25289446f32, 7.3528886e-3f32, 0.12530595f32, 0.9462235f32, 0.31562996f32, 0.83521605f32, 0.97518617f32, 0.8357005f32, 0.96338874f32, 0.51725435f32, 0.41116953f32, 0.5594963f32, 0.4514302f32, 0.33837402f32, 0.9721904f32, 0.35762143f32, 0.6721494f32, 0.17204791f32, 0.6018458f32, 0.51205444f32, 2.7748287e-2f32, 0.5885695f32, 0.59611833f32, 5.625367e-3f32, 0.42564625f32, 0.96507f32, 0.7109268f32],
